noun,total_subj_count,long_count,short_count,long_ratio
것+이,53,0,0,0.0
사람+이,24,0,0,0.0
문제+가,24,4,0,0.16666666666666666
우리+가,22,0,0,0.0
도움+이,18,3,0,0.16666666666666666
내+가,17,2,0,0.11764705882352941
그+가,16,0,0,0.0
대상+이,16,0,0,0.0
그것+이,14,2,0,0.14285714285714285
원인+이,14,0,0,0.0
셈+이,14,0,0,0.0
일+이,13,0,0,0.0
계기+가,11,0,0,0.0
목적+이,9,1,0,0.1111111111111111
대통령+이,9,0,0,0.0
자체+가,8,0,0,0.0
자기+가,8,0,0,0.0
그+들+이,8,0,0,0.0
요인+이,7,0,0,0.0
이것+이,6,0,0,0.0
친구+가,6,0,0,0.0
보기+가,6,0,0,0.0
기회+가,6,1,0,0.16666666666666666
사람+들+이,5,0,0,0.0
영혼+이,5,0,0,0.0
꼴+이,5,1,0,0.2
어른+이,5,0,0,0.0
예+가,5,0,0,0.0
기반+이,5,0,0,0.0
독서+가,4,0,0,0.0
사건+이,4,0,0,0.0
당신+이,4,0,0,0.0
어린이+가,4,0,0,0.0
관계+가,4,0,0,0.0
자신+이,4,0,0,0.0
책+이,4,0,0,0.0
부자+가,4,0,0,0.0
자+가,4,0,0,0.0
이유+가,4,0,0,0.0
중심+이,4,0,0,0.0
원+이,4,0,0,0.0
토대+가,4,0,0,0.0
내용+이,4,0,0,0.0
시+가,4,1,0,0.25
목표+가,4,0,0,0.0
찻종+이,4,0,0,0.0
등+이,3,1,0,0.3333333333333333
모두+가,3,0,0,0.0
인간+이,3,0,0,0.0
하나+가,3,0,0,0.0
시민+들+이,3,0,0,0.0
철학+이,3,0,0,0.0
제+가,3,0,0,0.0
정부+가,3,0,0,0.0
행동+이,3,0,0,0.0
수+가,3,0,0,0.0
결과+가,3,1,0,0.3333333333333333
때+가,3,0,0,0.0
피부+가,3,0,0,0.0
아내+가,3,0,0,0.0
돈+이,3,0,0,0.0
자료+가,3,0,0,0.0
재료+가,3,0,0,0.0
문장+이,3,0,0,0.0
지도자+가,3,0,0,0.0
논란+이,3,0,0,0.0
바탕+이,3,0,0,0.0
주인공+이,3,0,0,0.0
승리자+가,3,0,0,0.0
상황+이,3,0,0,0.0
기초+가,3,0,0,0.0
힘+이,3,0,0,0.0
정도+가,3,0,0,0.0
존재+가,3,0,0,0.0
조건+이,3,0,0,0.0
상징+이,3,0,0,0.0
김남천+이,3,0,0,0.0
동화+가,2,1,0,0.5
생물+이,2,1,0,0.5
여자+가,2,0,0,0.0
아이+들+이,2,0,0,0.0
변화+가,2,0,0,0.0
아들+이,2,0,0,0.0
공기+가,2,0,0,0.0
하락+이,2,0,0,0.0
경제력+이,2,0,0,0.0
배+가,2,0,0,0.0
세계+가,2,0,1,0.0
리듬+이,2,0,0,0.0
작품+이,2,0,0,0.0
차원+이,2,0,0,0.0
필요+가,2,0,0,0.0
날+이,2,0,0,0.0
자격+이,2,0,0,0.0
이론+이,2,0,0,0.0
부분+이,2,0,0,0.0
근원+이,2,0,0,0.0
가능성+이,2,0,0,0.0
의미+가,2,0,0,0.0
점+이,2,0,0,0.0
