verb_norm,freq
이,10508
하,3704
있,3468
되,2017
않,1685
보,780
이러하,731
대하,678
주,457
알,446
보이,443
생각,441
가지,407
말하,367
못하,351
오,341
만들,310
살,297
받,292
이루,287
시작,283
나타나,264
그렇,260
들,260
갖,240
지니,240
중요,225
가,224
사용,214
이렇,194
쓰,183
그러하,182
찾,176
위하,173
나오,163
필요,159
존재,157
어떻,157
내,153
얻,149
이르,148
가능,147
모르,140
말,139
지나,136
느끼,134
읽,131
버리,126
두,125
일어나,125
믿,124
알리,120
남,120
생기,112
설명,110
주장,110
관하,110
발견,110
이해,108
나가,107
오르,104
포함,104
부르,101
의하,101
나,96
따르,96
유지,96
발전,95
싶,93
다양,92
죽,90
떨어지,90
의미,90
만나,90
놓,89
나타내,86
밝히,85
내리,84
속하,84
계속,82
없,81
불리,81
먹,80
강조,80
파악,80
어떠하,76
등장,76
바라,73
제시,73
삼,73
증가,73
이용,71
형성,70
지키,70
사랑,70
맞,69
갖추,69
인정,69
세우,68
결정,68
표현,68
변화,66
여기,66
보내,66
비롯,65
살피,65
전하,65
구성,65
빠지,64
달리,64
차지,64
유명,62
취하,62
완전,61
관련,61
짓,60
발생,60
묻,59
요구,59
제공,59
잃,57
연구,57
듣,57
다루,57
드러나,56
받아들이,56
벗어나,55
서,54
입,54
마련,54
잇,54
해당,53
기록,53
미치,53
평가,52
만하,52
지적,52
끝나,51
변하,51
흐르,50
확인,50
해결,50
쓰이,49
통하,49
떠나,49
발표,49
돌,48
배우,48
상당,48
구별,48
일정,47
전개,47
그리,47
정하,46
당연,46
걷,46
규정,45
늘,45
제기,45
일,44
불가능,44
바꾸,43
움직이,43
수행,43
진정,42
아무렇,42
의심,42
좋아하,42
거대,42
지배,42
성립,42
단순,42
나누,42
분명,41
일으키,41
전달,41
그치,41
분석,41
진행,41
추구,40
피하,40
구분,40
잘못,40
다르,40
확실,40
연결,40
시도,40
옮기,40
돌리,39
사라지,39
넣,38
들어가,38
노력,38
넘,38
위대,38
힘들,38
기다리,38
남기,38
유일,38
인식,37
올리,37
구하,37
향하,37
극복,37
발달,37
강력,37
걸리,36
작용,36
지,36
확대,36
주요,36
동일,36
놓이,36
해석,36
행하,36
부정,35
다니,35
태어나,35
낳,35
기대,35
사,35
반영,35
적,35
추진,35
치,34
유사,34
당하,34
잊,34
겪,34
깨닫,34
잡,34
의존,33
예상,33
안되,33
앉,33
달,33
참여,33
불과,33
마시,32
감소,32
간주,32
막,32
비교,32
나서,32
듯,32
적용,32
담당,32
붙이,31
확립,31
벌,31
가르치,31
띠,31
상승,31
정의,31
지속,31
드러내,30
바뀌,30
주목,30
수용,30
상실,30
놀라,30
추정,30
맺,30
도달,30
복잡,30
고려,30
심각,30
확보,29
위치,29
지나치,29
걸치,29
검토,29
이끌,29
즐기,29
부여,29
원하,29
싸우,29
파괴,29
정리,29
선택,29
택하,29
동원,29
언급,29
끌,29
바치,29
뜻하,29
실현,28
타,28
반대,28
조사,28
판단,28
경험,28
견디,28
지내,28
거두,28
비슷,28
달하,28
정확,28
요청,28
도착,28
크,28
쉬,27
발휘,27
벌어지,27
바라보,27
거치,27
떠오르,27
끼치,27
초래,27
탄생,27
일치,27
전,27
이야기,26
던지,26
열리,26
열,26
풀,26
생산,26
지칭,26
다하,26
유리,26
개발,26
기술,26
분리,26
듯하,26
풍부,26
자라,25
죽이,25
높이,25
무시,25
기여,25
가리키,25
중시,24
관찰,24
가난,24
창조,24
가하,24
나아가,24
건강,23
돌아오,23
간단,23
차,23
웃,23
준비,23
증명,23
획득,23
성공,23
둘러싸,23
접근,23
약화,23
보장,22
이기,22
걸,22
부족,22
깨,22
채택,22
맡,22
마치,22
달성,22
완성,22
팔,22
팽창,22
내포,22
충분,22
수립,22
논의,22
밀접,22
대표,22
설치,22
회복,21
펴,21
포기,21
대답,21
담,21
돕,21
야기,21
기인,21
충족,21
누리,21
실패,21
그러,20
상상,20
보호,20
따뜻,20
인하,20
억제,20
높,20
젖,20
강화,20
처하,20
특별,20
틀리,20
들리,20
개최,20
실시,20
제거,19
짜,19
금지,19
일컫,19
집중,19
드리,19
밀리,19
다가오,19
붙,19
성장,19
새기,19
출발,19
통합,19
머물,19
만족,19
특정,19
채우,19
저지르,19
붕괴,19
제외,19
묘사,19
주도,19
정착,19
자명,19
이루어지,19
앞서,19
기르,18
띄,18
없애,18
대,18
실천,18
기억,18
장악,18
비판,18
모시,18
확신,18
비유,18
적절,18
수반,18
빚,18
영원,18
행복,18
명백,18
허용,18
특수,18
활동,18
지불,18
입증,17
씻,17
짐작,17
소개,17
출현,17
펼치,17
계시,17
품,17
흘리,17
참,17
독특,17
벌이,17
넘기,17
고치,17
맞추,17
중대,17
맞이하,17
닮,17
결합,17
통제,17
구축,17
발굴,17
파견,17
들이,16
성취,16
닦,16
바르,16
들어서,16
울,16
돌아가,16
이상,16
더하,16
생활,16
들어오,16
모이,16
상징,16
출판,16
전환,16
지향,16
건설,16
분류,16
매,16
퍼지,16
머무르,16
기초,16
가정,16
도입,16
증대,16
뛰,16
자리잡,16
실리,16
조달,16
감사,16
생성,16
노래,15
위험,15
편리,15
잡히,15
간직,15
권하,15
요약,15
왜곡,15
기울이,15
기도,15
방문,15
터지,15
헤아리,15
대립,15
전락,15
관계,15
맡기,15
특이,15
설정,15
모으,15
담기,15
솟,15
치르,15
내세우,15
거부,15
접하,15
