lemma,obj_count,obj_immediate_count,pct_immediate
하+는,122,59,48.36065573770492
가지+고,113,98,86.72566371681415
위하+ㄴ,98,90,91.83673469387756
하+ㄴ,89,38,42.69662921348314
알+ㄹ,84,49,58.333333333333336
하+었+다,82,44,53.65853658536586
가지+ㄴ,77,68,88.31168831168831
하+ㄹ,68,37,54.41176470588235
하+ㄴ다,61,27,44.26229508196721
지니+고,58,48,82.75862068965517
알+고,56,29,51.78571428571429
갖+고,55,45,81.81818181818183
보+ㄹ,54,29,53.70370370370371
하+고,52,36,69.23076923076923
갖+는,46,40,86.95652173913044
비롯+하+ㄴ,44,36,81.81818181818183
지니+ㄴ,43,39,90.69767441860465
의미+하+ㄴ다,42,35,83.33333333333334
갖+게,41,39,95.1219512195122
알+게,40,28,70.0
보+는,39,18,46.15384615384615
받+았+다,39,38,97.43589743589743
보이+어+주+고,39,27,69.23076923076923
주+는,35,29,82.85714285714286
통하+ㄴ,34,32,94.11764705882352
말하+ㄴ다,34,30,88.23529411764706
이루+는,33,30,90.9090909090909
생각+하+어,33,24,72.72727272727273
만들+는,30,14,46.666666666666664
갖+는다,29,26,89.65517241379311
포함+하+ㄴ,29,26,89.65517241379311
만들+어,28,20,71.42857142857143
하+지,27,18,66.66666666666666
쓰+는,27,20,74.07407407407408
찾+는,26,19,73.07692307692307
받+고,26,24,92.3076923076923
받+ㄴ,26,21,80.76923076923077
보이+었+다,25,22,88.0
사용+하+는,24,12,50.0
두+ㄴ,24,20,83.33333333333334
나타내+는,23,18,78.26086956521739
보이+어+주+ㄴ다,23,13,56.52173913043478
가지+었+다,23,23,100.0
이루+고,22,21,95.45454545454545
보+ㄴ,22,16,72.72727272727273
지니+ㄴ다,22,22,100.0
들+ㄹ,22,19,86.36363636363636
하+게,21,18,85.71428571428571
읽+는,21,18,85.71428571428571
의미+하+는,21,18,85.71428571428571
보이+어+주+는,21,10,47.61904761904761
갖추+ㄴ,21,12,57.14285714285714
연구+하+는,21,14,66.66666666666666
얻+ㄹ,21,14,66.66666666666666
보+았+다,20,11,55.00000000000001
받+는,20,15,75.0
표현+하+는,20,9,45.0
보+게,19,15,78.94736842105263
받+게,19,18,94.73684210526315
주+었+다,19,15,78.94736842105263
나타내+ㄴ다,18,16,88.88888888888889
가능+하+게,18,17,94.44444444444444
보+고,18,9,50.0
느끼+게,18,13,72.22222222222221
주+ㄹ,17,14,82.35294117647058
세우+었+다,17,13,76.47058823529412
가지+ㄹ,17,16,94.11764705882352
보이+어,17,11,64.70588235294117
갖+지,16,15,93.75
받+지,16,15,93.75
만들+ㄹ,16,7,43.75
하+어야,16,11,68.75
이해+하+는,16,11,68.75
읽+ㄹ,16,12,75.0
보이+고,16,14,87.5
차지+하+고,16,16,100.0
발견+하+ㄹ,16,15,93.75
얻+기,16,13,81.25
추구+하+는,15,13,86.66666666666667
제외+하+ㄴ,15,11,73.33333333333333
뜻하+ㄴ다,15,9,60.0
파악+하+는,15,10,66.66666666666666
쓰+ㄴ,15,11,73.33333333333333
둘러싸+ㄴ,15,14,93.33333333333333
지니+게,15,15,100.0
유지+하+는,15,12,80.0
인정+하+는,14,10,71.42857142857143
부르+ㄴ다,14,1,7.142857142857142
하+기,14,8,57.14285714285714
가지+어+오+았+다,14,13,92.85714285714286
부정+하+는,14,12,85.71428571428571
만들+었+다,14,6,42.857142857142854
이루+ㄴ다,14,14,100.0
쓰+고,14,10,71.42857142857143
구성+하+는,14,13,92.85714285714286
이루+ㄴ,13,13,100.0
유지+하+고,13,12,92.3076923076923
받+ㄹ,13,9,69.23076923076923
시작+하+었+다,13,11,84.61538461538461
맺+고,13,13,100.0
포함+하+는,13,3,23.076923076923077
파악+하+ㄹ,13,8,61.53846153846154
좋아하+는,12,10,83.33333333333334
만들+ㄴ다,12,4,33.33333333333333
다루+는,12,10,83.33333333333334
얻+었+다,12,12,100.0
이용+하+ㄴ,12,12,100.0
하+어,12,9,75.0
가지+ㄴ다,12,12,100.0
알+아야,12,4,33.33333333333333
하+었+던,12,6,50.0
생각+하+는,12,8,66.66666666666666
반영+하+는,12,6,50.0
취하+었+다,12,12,100.0
지배+하+는,12,11,91.66666666666666
말하+는,12,9,75.0
두+었+다,12,7,58.333333333333336
이루+었+다,12,10,83.33333333333334
두+고,12,11,91.66666666666666
잃+ㄴ,12,10,83.33333333333334
만들+ㄴ,12,10,83.33333333333334
계속+하+었+다,11,10,90.9090909090909
그리+어,11,5,45.45454545454545
보+ㄴ다,11,3,27.27272727272727
인정+하+지,11,9,81.81818181818183
내리+었+다,11,10,90.9090909090909
삼+았+다,11,0,0.0
나타내+ㄴ,11,4,36.36363636363637
주+ㄴ다,11,9,81.81818181818183
비롯하+ㄴ,11,9,81.81818181818183
부르+는,11,8,72.72727272727273
평가+하+는,11,3,27.27272727272727
안+고,11,9,81.81818181818183
발견+하+었+다,11,8,72.72727272727273
이해+하+ㄹ,11,5,45.45454545454545
향하+ㄴ,11,11,100.0
즐기+는,11,7,63.63636363636363
요구+하+는,11,9,81.81818181818183
들+어,11,9,81.81818181818183
맞+게,11,9,81.81818181818183
들+ㄴ,11,9,81.81818181818183
가지+는,10,10,100.0
알+았+다,10,7,70.0
받+기,10,8,80.0
요청+하+었+다,10,10,100.0
얻+게,10,8,80.0
설명+하+ㄹ,10,4,40.0
포함+하+고,10,9,90.0
마련+하+어,10,9,90.0
얻+는,10,7,70.0
지칭+하+는,10,6,60.0
받+는다,10,7,70.0
사용+하+ㄴ다,10,8,80.0
제공+하+어,10,9,90.0
마치+ㄴ,10,7,70.0
규정+하+는,10,8,80.0
사용+하+었+다,10,5,50.0
잊+지,10,6,60.0
주+지,10,6,60.0
부르+었+다,9,3,33.33333333333333
찾+아+보+ㄹ,9,6,66.66666666666666
삼+는,9,0,0.0
보내+ㄹ,9,5,55.55555555555556
지키+는,9,7,77.77777777777779
설명+하+는,9,4,44.44444444444444
가지+게,9,8,88.88888888888889
사용+하+ㄹ,9,6,66.66666666666666
지니+는,9,7,77.77777777777779
발표+하+ㄴ,9,6,66.66666666666666
유지+하+ㄹ,9,8,88.88888888888889
여기+는,9,0,0.0
바라+는,9,5,55.55555555555556
찾+ㄹ,9,7,77.77777777777779
지적+하+ㄴ,9,6,66.66666666666666
이용+하+는,9,5,55.55555555555556
잇+는,9,3,33.33333333333333
뜻+하+ㄴ다,9,8,88.88888888888889
보이+ㄴ다,9,9,100.0
사용+하+고,9,4,44.44444444444444
읽+어,9,6,66.66666666666666
해석+하+는,9,2,22.22222222222222
결정+하+는,9,8,88.88888888888889
내+는,9,8,88.88888888888889
피하+기,9,7,77.77777777777779
띠+게,8,8,100.0
뜻하+는,8,8,100.0
담+ㄴ,8,7,87.5
지키+ㄹ,8,7,87.5
찾+게,8,6,75.0
알+는,8,4,50.0
가지+어야,8,7,87.5
제공+하+ㄴ다,8,8,100.0
기다리+고,8,7,87.5
보+지,8,4,50.0
강조+하+는,8,5,62.5
띠+ㄴ,8,7,87.5
극복+하+기,8,7,87.5
믿+는,8,6,75.0
생각+하+ㄴ다,8,2,25.0
살피+어+보+ㄹ,8,8,100.0
대표+하+는,8,6,75.0
위시+하+ㄴ,8,5,62.5
갖추+게,8,8,100.0
살+ㄹ,8,7,87.5
사랑+하+는,8,6,75.0
쓰+었+다,8,8,100.0
느끼+ㄹ,8,3,37.5
갖추+고,8,3,37.5
연구+하+ㄴ다,8,8,100.0
받아들이+는,8,2,25.0
유지+하+어,8,8,100.0
삼+는다,8,0,0.0
바꾸+는,8,3,37.5
깨닫+게,8,5,62.5
느끼+었+다,8,7,87.5
살피+어+보+자,8,5,62.5
받+은,8,4,50.0
찾+지,8,8,100.0
나타내+고,8,6,75.0
밝히+는,8,8,100.0
